id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1613683047789912065,1613683047789912065,2023-01-12 23:43:14 UTC,2023-01-12,23:43:14,+0000,886451137494360064,mytransit_to,MyTransit Toronto,,Toronto police investigate whether girls' alleged subway assaults related to fatal stabbing - Windsor Star:  https://t.co/J3tcq2ZiyQ #TTC #GoTransit #GoTrain #GoBus #Transit #Toronto #Transportation,en,[],['https://nationalpost.com/pmn/news-pmn/canada-news-pmn/police-investigate-whether-girls-alleged-subway-assaults-related-to-fatal-stabbing'],[],0,0,0,"['ttc', 'gotransit', 'gotrain', 'gobus', 'transit', 'toronto', 'transportation']",[],https://twitter.com/MyTransit_TO/status/1613683047789912065,False,,0,,,,,,,,[],,,,
1613682602627534848,1613682602627534848,2023-01-12 23:41:27 UTC,2023-01-12,23:41:27,+0000,886451137494360064,mytransit_to,MyTransit Toronto,,Toronto police investigate whether girls' alleged subway assaults related to fatal stabbing - Windsor Star  https://t.co/J3tcq2ZiyQ #Toronto #Transit #TTC #GoTransit #GoTrain #GoBus #Transportation,en,[],['https://nationalpost.com/pmn/news-pmn/canada-news-pmn/police-investigate-whether-girls-alleged-subway-assaults-related-to-fatal-stabbing'],[],0,0,0,"['toronto', 'transit', 'ttc', 'gotransit', 'gotrain', 'gobus', 'transportation']",[],https://twitter.com/MyTransit_TO/status/1613682602627534848,False,,0,,,,,,,,[],,,,
1613461799277572097,1613461799277572097,2023-01-12 09:04:04 UTC,2023-01-12,09:04:04,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#KenLee's friends say #stabbingvictim was #hero' in #protectinggirlfriend   https://t.co/6yteedisUi #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Publictransit #Transit,en,[],['https://torontosun.com/news/local-news/warmington-ken-lees-friends-say-stabbing-victim-was-hero-in-protecting-girlfriend'],[],0,1,3,"['kenlee', 'stabbingvictim', 'hero', 'protectinggirlfriend', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613461799277572097,False,,0,,,,,,,,[],,,,
1613461376772472832,1613461376772472832,2023-01-12 09:02:23 UTC,2023-01-12,09:02:23,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Man ID'd as Victim of Alleged #TorontoTeen 'Swarming' Killing   https://t.co/JsKTdDCeqs #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Publictransit #Transit #KenLee,en,[],['https://people.com/crime/victim-identified-swarming-killing-toronto-teen-girls/'],[],0,0,1,"['torontoteen', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'publictransit', 'transit', 'kenlee']",[],https://twitter.com/HitechguruS/status/1613461376772472832,False,,0,,,,,,,,[],,,,
1613461194064465920,1613461194064465920,2023-01-12 09:01:39 UTC,2023-01-12,09:01:39,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#Fundraiser launched for Toronto man allegedly killed by 8 teen girls  https://t.co/odyh8StXZT #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Publictransit #Transit,en,[],['https://dailyhive.com/toronto/fundraiser-toronto-man-teen-girls'],[],0,0,1,"['fundraiser', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613461194064465920,False,,0,,,,,,,,[],,,,
1613461012719493123,1613461012719493123,2023-01-12 09:00:56 UTC,2023-01-12,09:00:56,+0000,1331274208475820037,hitechgurus,Hitech Guru,,"Canada police ID Toronto #homeless man, 59, allegedly murdered by 8 teen girls in 'swarming' attack  https://t.co/3KaEb4nN6s #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC",en,[],['https://www.foxnews.com/world/canada-police-id-toronto-homeless-man-59-allegedly-murdered-8-teen-girls-swarming-attack'],[],0,0,1,"['homeless', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc']",[],https://twitter.com/HitechguruS/status/1613461012719493123,False,,0,,,,,,,,[],,,,
1613460768590073857,1613460768590073857,2023-01-12 08:59:58 UTC,2023-01-12,08:59:58,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Man allegedly killed by ‘swarm’ of 8 teen girls in #Toronto identified as #KenLee  https://t.co/KVJgebfzDC  #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Publictransit #Transit,en,[],['https://www.yahoo.com/news/man-allegedly-killed-swarm-8-185226229.html'],[],0,0,1,"['toronto', 'kenlee', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613460768590073857,False,,0,,,,,,,,[],,,,
1613460385587249152,1613460385587249152,2023-01-12 08:58:27 UTC,2023-01-12,08:58:27,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#Torontopolice say group of teens randomly attacked several people on the #TTC   https://t.co/3rwL33puRP #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #Publictransit #Transit,en,[],['https://www.blogto.com/city/2023/01/toronto-police-say-teens-randomly-attacked-people-ttc/'],[],0,0,1,"['torontopolice', 'ttc', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613460385587249152,False,,0,,,,,,,,[],,,,
1613460163524198401,1613460163524198401,2023-01-12 08:57:34 UTC,2023-01-12,08:57:34,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#Teens charged after Toronto 'swarming' attack also suspects in random #TTCassaults   https://t.co/HHBpTDdGe1 #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #girls #TTC #Publictransit #Transit,en,[],['https://globalnews.ca/news/9403400/ttc-assaults-teen-girls/'],[],0,0,1,"['teens', 'ttcassaults', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'girls', 'ttc', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613460163524198401,False,,0,,,,,,,,[],,,,
1613459949736034304,1613459949736034304,2023-01-12 08:56:43 UTC,2023-01-12,08:56:43,+0000,1331274208475820037,hitechgurus,Hitech Guru,,'Several people' allegedly assaulted at random by teen girls on TTC  https://t.co/FygDGyZ5tf #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Publictransit #Transit,en,[],['https://www.msn.com/en-ca/news/canada/several-people-allegedly-assaulted-at-random-by-teen-girls-on-ttc/ar-AA16etMZ?li=AAggNb9'],[],0,0,1,"['toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613459949736034304,False,,0,,,,,,,,[],,,,
